Record_ID,Student_ID,Survey_Date,Age,Gender,Grade_Level,School_Type,Subject,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Attendance_Percentage,Homework_Completion_Percentage,Study_Method,Tutoring,Internet_Access,Stress_Level,Parent_Support_Level,Previous_Exam_Score,Exam_Score,Final_Result,Teacher_Comment
R1184,S0525,2026-04-10,13.0,Female,Grade 9,Public,Science,3.9,8.0,4.3,80.0,96.0,Private Tutor,No,Yes,Medium,Low,98.0,100.0,Excellent,Consistent effort
R2008,S0747,2026-04-30,17.0,Female,Grade 12,International,Computer Science,0.4,7.0,5.0,89.0,68.0,Notebook / Notes,Yes,Yes,Medium,Medium,80.0,79.0,Good,Absent during some activities
R1836,S0676,2026-02-09,14.0,Male,Grade 9,Private,Math,4.6,7.2,3.1,94.0,86.0,Self Study,No,No,Medium,High,90.0,97.0,Excellent,Improved this term
R2301,S0617,2026-04-30,17.0,Male,Grade 12,Private,Math,1.6,8.4,4.3,88.0,61.0,Self Study,No,Yes,Medium,Medium,100.0,92.0,Excellent,Good analytical thinking
R1993,S0369,2026-03-09,17.0,Female,Grade 12,Private,Science,5.0,9.4,5.5,90.0,100.0,Online Videos,Yes,No,Medium,Medium,100.0,100.0,Excellent,Excellent focus
R1314,S0149,2026-03-14,15.0,Female,Grade 9,Private,Computer Science,5.4,7.3,5.9,87.0,99.0,Online Videos,No,Yes,High,High,91.0,99.0,Excellent,Good analytical thinking
R3239,S0232,2026-02-06,17.0,Male,Grade 12,International,English,3.7,6.9,6.1,92.0,86.0,Self Study,No,Yes,Low,Low,84.0,85.0,Good,-
R0105,S0058,2026-04-17,16.0,Male,Grade 9,International,History,3.2,6.0,3.0,100.0,74.0,Private Tutor,No,No,Low,Low,68.0,69.0,Pass,No Comment
R2413,S0170,2026-04-15,14.0,Male,Grade 9,Private,English,3.2,9.0,4.9,94.0,72.0,Self Study,Yes,Yes,Medium,High,96.0,95.0,Excellent,Excellent focus
R0291,S0380,2026-04-30,14.0,Male,Grade 9,Public,Math,5.4,7.5,6.4,85.0,44.0,Self Study,No,Yes,Medium,Medium,77.0,81.0,Good,Improved this term
R3190,S0401,2026-02-01,14.0,Female,Grade 9,Public,Science,3.8,7.8,4.3,94.0,93.0,Self Study,No,Yes,Medium,Medium,99.0,92.0,Excellent,Often distracted
R2102,S0410,2026-04-24,13.0,Female,Grade 8,Public,Science,3.0,6.9,1.9,86.0,64.0,Private Tutor,No,Yes,Medium,Low,78.0,93.0,Excellent,Needs better time management
R0963,S0181,2026-04-22,13.0,Female,Grade 8,Private,Math,2.2,5.7,0.5,88.0,65.0,Private Tutor,No,Yes,Medium,Medium,70.0,68.0,Pass,Often distracted
R1380,S0153,2026-03-18,13.0,Female,Grade 8,International,English,4.6,6.0,6.1,100.0,70.0,Self Study,Yes,Yes,Low,High,94.0,100.0,Excellent,Needs better time management
R1526,S0115,2026-03-10,16.0,Female,Grade 11,Public,Math,1.8,7.3,7.7,78.0,64.0,Self Study,No,Yes,High,Medium,77.0,73.0,Pass,No Comment
R2293,S0629,2026-02-23,13.0,Female,Grade 11,International,Science,3.6,6.3,4.2,91.0,100.0,Online Videos,No,Yes,High,Medium,68.0,74.0,Pass,Strong participation
R3231,S0400,2026-03-11,14.0,Male,Grade 9,Private,Science,4.5,6.3,5.6,78.0,96.0,Private Tutor,No,Yes,Medium,Low,68.0,87.0,Good,Homework quality varies
R2972,S0572,2026-02-20,13.0,Female,Grade 8,Public,Science,2.4,8.1,4.0,80.0,76.0,Group Study,Yes,Yes,Low,High,100.0,100.0,Excellent,Homework quality varies
R0323,S0146,2026-05-01,17.0,Male,Grade 12,Public,Math,2.3,7.8,2.6,89.0,59.0,Group Study,No,Yes,Low,Medium,68.0,90.0,Excellent,Homework quality varies
R2631,S0450,2026-02-03,17.0,Male,Grade 9,International,Computer Science,5.0,5.5,3.7,75.0,83.0,Online Videos,No,Yes,Low,High,90.0,100.0,Excellent,Strong participation
R3617,S0714,2026-04-28,15.0,Female,Grade 10,International,English,4.9,5.5,5.7,86.0,83.0,Self Study,No,Yes,Low,High,79.0,98.0,Excellent,Needs revision plan
R1989,S0515,2026-02-11,14.0,Female,Grade 9,Private,English,3.6,6.1,4.1,83.0,67.0,Self Study,Yes,No,Medium,High,95.0,100.0,Excellent,Often distracted
R3676,S0096,2026-04-03,15.0,Male,Grade 10,Private,History,3.5,7.9,3.3,87.0,67.0,Notebook / Notes,No,Yes,Medium,Medium,89.0,93.0,Excellent,Good analytical thinking
R1576,S0506,2026-02-24,14.0,Male,Grade 9,Public,Computer Science,3.6,6.4,0.5,77.0,77.0,Online Videos,No,Yes,Medium,Low,97.0,93.0,Excellent,Excellent focus
R3314,S0304,2026-03-01,15.0,Male,Grade 11,Public,History,2.6,9.2,8.0,88.0,63.0,Notebook / Notes,No,Yes,Low,High,79.0,85.0,Good,Good analytical thinking
R0824,S0742,2026-03-01,15.0,Female,Grade 10,International,Computer Science,3.5,6.0,2.3,89.0,77.0,Notebook / Notes,No,Yes,Medium,Medium,96.0,100.0,Excellent,Good analytical thinking
